ID,Phase,Priority,Reviewer(s),Category,Task,Why / Problem,Detailed Action Steps,Definition of Done,Deliverable / Evidence,Dependency,Suggested Owner,Target Week,Status,% Complete,Blocking,Decision Required,Manuscript Section,Response Ref,Notes
T2-10,2. Theory & Algorithm,P0 Critical,R1; R2,Proof,Complete a valid proof or explicitly remove the convergence guarantee,Causal masking creates a potentially biased estimator that cannot simply inherit an unbiased asynchronous-SGD theorem.,"• Derive a bounded-bias result using an appropriate theorem, or provide a fresh proof.
• Analyze the HOLD and periodic-sync interaction.
• Have a qualified colleague independently review every step.","Independent reviewer signs off on the proof, or all convergence-guarantee language is removed.",Reviewed appendix proof or approved replacement text,T2-09,Math reviewer + Aditya,Week 2,Not Started,0%,Yes,No,Section III-D; Appendix,R1/R2,
V3-01,3. Data & Evaluation Integrity,P0 Critical,R3; R4,Data split,Audit StudentLife split for participant leakage,'Participant-stratified' can mean either subject-independent splitting or the same subjects appearing in train and test.,"• List subject IDs in each split.
• Use a subject-independent evaluation for generalization claims.
• If within-subject evaluation is retained, label it clearly and avoid unseen-subject claims.",Split membership is documented and no hidden subject overlap remains.,Split manifest + revised evaluation description,,Aditya,Week 1,Not Started,0%,Yes,No,Section IV-A,R3/R4,
V3-02,3. Data & Evaluation Integrity,P0 Critical,R6,Data split,Clarify and correct the DAIC-WOZ 107/82 split,"The common partition is 107 train, 35 development and 47 test; merging or relabeling requires explicit justification and label availability.","• Document exactly which official partitions and labels were used.
• Explain whether development and test were combined.
• Prefer a standard, reproducible evaluation split and re-run results if necessary.","The split is standard or fully justified, reproducible and comparable with prior work.",Split manifest + rerun results if changed,,Aditya,Week 1,Not Started,0%,Yes,No,Section IV-A,R6,
V3-03,3. Data & Evaluation Integrity,P0 Critical,R4; R3,Personalization leakage,Define how subject embeddings are handled for held-out and unseen subjects,A learned identity embedding can leak test-subject information if trained using all subject IDs.,"• State whether test subjects appear during training.
• Add an unknown-subject baseline and a support-set adaptation protocol.
• Separate within-subject personalization from unseen-subject generalization.",No test-subject identity information is used improperly; cold-start performance is measured.,Evaluation protocol + cold-start experiment plan,V3-01; V3-02,Aditya,Week 1–2,Not Started,0%,Yes,No,Section III-B.4; IV; VIII,R3/R4,
V3-05,3. Data & Evaluation Integrity,P0 Critical,R3,Leakage,Audit forward-fill and imputation for temporal leakage,Imputation across split boundaries or from future observations can inflate performance.,"• Fit and apply imputation separately within each split and sequence.
• Prohibit backward information flow.
• Report missingness and imputation sensitivity.",No preprocessing step uses future or test-set information.,Leakage audit + sensitivity result,V3-04,Aditya,Week 2,Not Started,0%,Yes,No,Section IV-A,R3,
E4-01,4. Experiments & Benchmarking,P0 Critical,R2; R6,Baseline fairness,Audit fairness of all baseline configurations,"A 1.1-point DDP degradation cannot support a causal claim unless batch size, optimizer and sampler confounders are controlled.","• Match effective global batch size or report it explicitly.
• Tune learning rate for each effective batch size.
• Use identical data splits, preprocessing, early stopping and seed schedule.",Baseline differences cannot be explained by avoidable training-protocol mismatches.,Baseline fairness table + configs,V3-01:V3-09,Aditya,Week 2,Not Started,0%,Yes,No,Section IV-B/D,R2/R6,
E4-02,4. Experiments & Benchmarking,P0 Critical,R1; R2; R6,Causal claim test,Run controlled DDP experiments that isolate the proposed temporal-inconsistency mechanism,"The current comparison does not establish that temporal causality, rather than optimization configuration, causes degradation.","• Compare DDP with matched global batch size and tuned learning rate.
• Compare random versus chronological window assignment.
• Compare stateful versus stateless sequence handling and overlap/no-overlap conditions.","The specific failure mode is isolated with controls, or the general DDP-causality claim is withdrawn.",Controlled experiment table + analysis,D1-03; E4-01,Aditya,Week 2,Not Started,0%,Yes,No,Results; Discussion VII-C,R1/R2/R6,
E4-03,4. Experiments & Benchmarking,P0 Critical,R2; R3; R6,Systems validation,Run true multi-node experiments if the distributed scope is retained,"Physical hosts introduce network stack, NIC, congestion, NUMA and straggler effects absent from NVLink emulation.","• Use at least 2 and preferably 4 physical hosts.
• Report GPU, CPU, NIC, topology, RTT, bandwidth, software stack and repeated runs.
• Include DDP and D-MSTCN under identical conditions.",At least one genuine multi-node result supports every retained physical-cluster claim.,Hardware manifest + multi-node result tables,D1-01,Aditya + Infra support,Week 2–3,Not Started,0%,Yes,No,Section IV-E; V-B,R2/R3/R6,
E4-12,4. Experiments & Benchmarking,P0 Critical,R3; R4,Cold start,Evaluate personalization for unseen subjects,The main deployment target includes new subjects who have no learned embedding.,"• Evaluate a global/unknown embedding.
• Evaluate few-shot adaptation with a clearly separated support set.
• Report seen-subject and unseen-subject results separately.",Cold-start behavior is quantified and no hidden test-subject training occurs.,Cold-start result table,V3-03; E4-11,Aditya,Week 2–3,Not Started,0%,Yes,No,Section IV/VI/VIII,R3/R4,
E4-13,4. Experiments & Benchmarking,P0 Critical,R2; R3,Statistics,Redesign the significance-testing plan,"With only five paired observations, an exact two-sided Wilcoxon test cannot produce p < 0.05 even when all differences have the same sign.","• Increase independent runs for headline comparisons, preferably to at least 10.
• Report exact test type, alternative hypothesis, statistic and p-value.
• Use confidence intervals and effect sizes; correct for multiple comparisons where applicable.",Every significance symbol can be independently reproduced and is statistically valid.,Statistical analysis plan + scripts,V3-08,Aditya + Statistician/Guide,Week 2,Not Started,0%,Yes,No,Section IV-C/D; Tables 2–5,R2/R3,
W5-01,5. Writing & Positioning,P0 Critical,R2; R3; R6,Rewrite,Rewrite title and abstract after the structural decisions and reruns,"The abstract currently combines modeling, theory and cluster-scale claims more strongly than the evidence supports.","• State the exact experimental environment.
• Report only validated headline numbers.
• Remove or bound unsupported novelty and convergence claims.",Every abstract sentence is directly supported by the revised manuscript.,Final title and abstract,D1-08; G0-06; E4 results,Aditya + Guide,Week 3,Not Started,0%,Yes,No,Title; Abstract,R2/R3/R6,
W5-03,5. Writing & Positioning,P0 Critical,R1; R2; R6,Problem statement,Rewrite the temporal-causality problem statement narrowly and formally,The current prose treats temporally distinct gradients as inherently non-exchangeable without defining the conditions.,"• Use the formal definition from D1-03.
• State the conditions under which the problem arises.
• Avoid generalizing to all temporal models or all DDP training.",The problem statement is technically precise and matches the controlled experiments.,Revised Sections I-B and II-C,D1-03; E4-02,Aditya + Guide,Week 3,Not Started,0%,Yes,No,"Sections I-B, II-C",R1/R2/R6,
S7-01,7. Response & Submission,P0 Critical,Editor,Response matrix,Create a reviewer-comment master matrix,Eight reviewers create a high risk of silently missing a comment.,"• Copy each comment verbatim or faithfully summarize it.
• Map it to task IDs, manuscript locations and evidence.
• Mark accept, partially accept or respectfully rebut.",Every reviewer comment appears exactly once with an assigned response and action.,Reviewer Matrix completed,All technical tasks planned,Aditya,Week 1–3,Not Started,0%,Yes,No,Response package,Editor,
S7-02,7. Response & Submission,P0 Critical,Editor,Response document,Write the formal response-to-reviewers document,"IEEE Access requires concern, response and action for every comment.","• Use a professional, non-defensive tone.
• Lead with changes and evidence.
• For rebuttals, provide exact table/equation/page evidence.",All reviewer comments have complete concern-response-action entries.,Final Author Response PDF/DOCX,S7-01; W5-13,Aditya + Guide,Week 3–4,Not Started,0%,Yes,No,Response package,Editor,
S7-03,7. Response & Submission,P0 Critical,Editor,Highlighted manuscript,Produce the highlighted-changes PDF,"The editor requests every individual change, including grammar, to be highlighted.","• Generate from the final source.
• Check that highlights do not hide equations or figures.
• Verify it matches the clean manuscript.","Highlighted PDF is complete, readable and content-identical to the clean manuscript.",Highlighted PDF,Final manuscript locked,Aditya,Week 4,Not Started,0%,Yes,No,Submission file,Editor,
S7-04,7. Response & Submission,P0 Critical,Editor,Clean manuscript,Produce the clean LaTeX/Word source and PDF,IEEE requires clean source and PDF as the main manuscript.,"• Compile from the locked revision tag.
• Remove comments, highlights and tracked-change artifacts.
• Verify bibliography and supplementary references.","Clean source compiles without warnings that affect content, and PDF passes QA.",Clean source + PDF,F6-07; G0-09,Aditya,Week 4,Not Started,0%,Yes,No,Submission file,Editor,
S7-05,7. Response & Submission,P0 Critical,Editor,Checklist,Complete the IEEE Access resubmission checklist,The resubmission is one-shot; administrative omissions can waste the technical revision.,"• Work through each checklist item.
• Confirm file names and submission categories.
• Confirm whether any author-list change form is needed.",Every checklist item is completed and signed off.,Completed checklist,S7-02:S7-04,Aditya,Week 4,Not Started,0%,Yes,No,Submission package,Editor,
S7-06,7. Response & Submission,P0 Critical,All,Red-team review,Run an independent internal re-review against the original reviewer comments,The revised paper should be tested as though the same reviewers will return.,"• Give the clean manuscript, response and supplement to a colleague not involved in drafting.
• Ask them to find any unresolved comment, unsupported claim or inconsistency.
• Close every red-team finding.",Independent reviewer signs off that all comments are addressed.,Red-team report,S7-02:S7-05,Independent colleague,Week 4,Not Started,0%,Yes,No,All files,All,
S7-07,7. Response & Submission,P0 Critical,Editor,Author approval,Obtain final guide and coauthor approval,"The guide should approve the paper's scope, proof status, reference corrections and response tone.","• Review final files together.
• Confirm author contributions and disclosure.
• Record approval before upload.",All authors approve the exact files to be submitted.,Written approval,S7-06,Guide + Aditya,Week 4,Not Started,0%,Yes,No,All files,Editor,
S7-10,7. Response & Submission,P0 Critical,Editor,Submission backup,Create a final immutable submission archive before upload,A one-shot resubmission needs an exact backup of what was submitted.,"• Zip all source files, PDFs, supplement, response and checklist.
• Include checksums and a contents manifest.
• Save the portal confirmation after submission.",The exact submission can be reconstructed from the archive.,Timestamped archive + manifest,S7-02:S7-09,Aditya,Week 4,Not Started,0%,Yes,No,Archive,Editor,
D1-05,1. Scope & Core-Claim Decisions,P1 Major,R3,Novelty decision,Define the single strongest methodological novelty,The paper currently reads as a combination of known components unless the new mechanism is isolated precisely.,"• Name the closest methods and state the exact technical difference.
• Separate architectural novelty, systems novelty and application novelty.
• Avoid claiming novelty merely because components are combined.",A 3–5 sentence novelty statement survives comparison with the closest prior work.,Approved novelty statement + comparison table outline,D1-01; D1-03; D1-04,Aditya + Guide,Week 1,Not Started,0%,Yes,Yes,Introduction; Related Work; Contributions,R3,
D1-06,1. Scope & Core-Claim Decisions,P1 Major,R3,Title decision,Select a title that matches the final evidence,The current title implies distributed scalability beyond what a single-server experiment establishes.,"• Prepare title options for both scope outcomes.
• Avoid 'scalable' or 'distributed' if the evidence is limited to one host.
• Obtain guide approval after D1-01 through D1-05 are closed.",Final title makes no claim that the revised experiments do not support.,Approved title,D1-01:D1-05,Aditya + Guide,Week 1,Not Started,0%,No,Yes,Title,R3,
D1-07,1. Scope & Core-Claim Decisions,P1 Major,R2; R3,Claims policy,Create a manuscript-wide claim-strength policy,"Statements such as 'first', 'guarantees', 'near-linear' and 'population-scale' carry a high evidence burden.","• List all strong claim words.
• Define evidence required to retain each one.
• Replace unsupported claims with measured, bounded statements.","No strong claim remains without a corresponding proof, experiment or authoritative literature basis.",Claim audit checklist,D1-01:D1-05,Aditya,Week 1,Not Started,0%,No,No,Entire manuscript,R2/R3,
T2-01,2. Theory & Algorithm,P1 Major,R1,Notation,Remove η notation overloading,η is used for both learning rate and scalability efficiency.,"• Reserve η for scalability efficiency.
• Use a distinct symbol such as α_lr for learning rate.
• Search equations, tables, captions and prose for every occurrence.",Each symbol has one meaning throughout the manuscript.,Notation audit + revised equations/tables,D1-04,Aditya,Week 1,Not Started,0%,No,No,"Sections III-D, IV-C, IV-F; Tables 1 and 3",R1,
T2-03,2. Theory & Algorithm,P1 Major,R2,Parameter accounting,Correct the personalization-adapter parameter count,"The shared matrices contribute O(D²) parameters; the per-subject cost is the embedding dimension d_s, not 2D.","• Compute exact shared and per-subject parameter counts from code.
• Update the equations and complexity discussion.
• Replace 'negligible' with measured overhead.","Parameter counts in prose, table and code summary match exactly.",Parameter-count table + corrected description,G0-09,Aditya,Week 1,Not Started,0%,No,No,Section III-B.4; Complexity,R2,
T2-08,2. Theory & Algorithm,P1 Major,R2,Scientific rationale,Replace universal EEG-timescale grounding with dataset-specific temporal rationale,Minute-resolution smartphone data cannot resolve theta- or alpha-band oscillations.,"• State actual sampling intervals and receptive-field durations for each dataset.
• Present the schedules as heuristic multi-resolution choices unless directly grounded for that dataset.
• Reserve EEG-frequency discussion for SEED or other truly high-frequency data.",Every temporal-scale statement is physically meaningful for the dataset being discussed.,Revised design rationale + duration table,T2-02,Aditya + Guide,Week 1,Not Started,0%,No,No,"Sections III-A/B, VII-A",R2,
T2-11,2. Theory & Algorithm,P1 Major,R3,Complexity,Expand the analytical computational and communication complexity derivation,The paper currently gives only a coarse operation expression and communication estimate.,"• Derive time and memory complexity per branch and for CSAG/adapter/head.
• Separate forward, backward and synchronization costs.
• Relate formulas to measured values.",Analytical estimates and measured profiling results are reported together.,Complexity subsection + table,T2-02; T2-03,Aditya,Week 2,Not Started,0%,No,No,Section III-F,R3,
T2-12,2. Theory & Algorithm,P1 Major,R2; R3,Verification,"Add unit and integration tests for TCP, SAP, receptive field and parameter counts",Several reviewer concerns are symptoms of undocumented implementation behavior.,"• Test counter transitions and synchronization ordering.
• Test SAP placement and N>3 replication.
• Test receptive fields and exact parameter counts.",Automated tests pass on the tagged revision commit and are included in the repository.,Test suite report,G0-09; T2-02:T2-06,Aditya,Week 2,Not Started,0%,No,No,Code / supplement,R2/R3,
V3-04,3. Data & Evaluation Integrity,P1 Major,R3,Preprocessing,Document the complete preprocessing pipeline,"Reproducibility requires exact resampling, normalization, feature extraction and window construction details.","• Specify software versions and parameters.
• Fit normalization only on training data.
• Publish scripts or pseudocode for every transformation.",A new researcher can reproduce the model inputs from the raw/public data.,Preprocessing appendix + scripts,G0-09,Aditya,Week 2,Not Started,0%,No,No,Section IV-A; Supplement,R3,
V3-06,3. Data & Evaluation Integrity,P1 Major,R3,Window leakage,Audit overlapping windows and duplicate temporal content across splits,Highly overlapping windows can place nearly identical observations in training and test sets.,"• Measure overlap between windows across splits.
• Split by subject/session before window generation where possible.
• Document exclusion gaps if needed.",Train and test examples do not share overlapping raw intervals.,Window-overlap audit,V3-01; V3-02; V3-04,Aditya,Week 2,Not Started,0%,Yes,No,Section IV-A,R3,
V3-07,3. Data & Evaluation Integrity,P1 Major,R3,Class balance,Report class distributions and imbalance handling,Macro F1 alone does not show whether rare classes or thresholds drive the gains.,"• Report train/validation/test counts by class and subject.
• Document weighting or sampling.
• Add per-class precision, recall and F1.",Class balance and per-class results are fully reported.,Dataset statistics table + per-class metrics,V3-01; V3-02,Aditya,Week 2,Not Started,0%,No,No,Section IV; Results,R3,
V3-08,3. Data & Evaluation Integrity,P1 Major,R3; R6,Determinism,"Specify seeds, determinism settings and repeated-run protocol",Reported variance is meaningful only when the source of randomness and run protocol are controlled.,"• List all seeds.
• Document deterministic/non-deterministic CUDA settings.
• Use the same seed schedule across baselines.","Every experiment has a documented, repeatable seed and environment policy.",Run protocol table,G0-09,Aditya,Week 2,Not Started,0%,No,No,Section IV-D,R3/R6,
V3-09,3. Data & Evaluation Integrity,P1 Major,R2; R3,Sample accounting,"Reconcile subjects, sessions, windows and labelled-sample counts",Scalability motivation can be distorted if sample counts and sequence lengths are not clearly separated.,"• Report subjects, sessions, windows, sequence-length distribution and total timesteps.
• Clarify whether samples are independent.
• Use these values in the compute-motivation discussion.",Dataset-scale claims use precise and consistent units.,Dataset accounting table,V3-01; V3-02,Aditya,Week 2,Not Started,0%,No,No,Section IV-A; Introduction,R2/R3,
E4-04,4. Experiments & Benchmarking,P1 Major,R2; R3,Scale validation,Add synthetic or replicated longitudinal workloads at larger scale,Public cognitive datasets are too small to test the systems motivation directly.,"• Create transparent synthetic workloads varying participants, sequence length and feature count.
• Preserve the model's compute and communication characteristics.
• Clearly separate synthetic scalability from predictive-validity claims.",Scaling behavior is evaluated across a workload range that stresses the system.,Synthetic workload generator + scaling curves,D1-02,Aditya,Week 2,Not Started,0%,No,No,Section IV/V; Supplement,R2/R3,
E4-05,4. Experiments & Benchmarking,P1 Major,R2; R6,Network robustness,"Benchmark bandwidth, RTT, jitter, packet loss and straggler sensitivity",Bandwidth alone does not model real distributed execution.,"• Test a matrix of RTT and bandwidth values.
• Inject controlled stragglers and jitter.
• Report mean, variance and tail latency.",The paper quantifies where the approach helps and where it fails.,Robustness curves + bottleneck analysis,E4-03 or D1-01 Option B,Aditya,Week 2–3,Not Started,0%,No,No,Section V-B; Limitations,R2/R6,
E4-06,4. Experiments & Benchmarking,P1 Major,R6,Timing statistics,Repeat throughput and efficiency measurements,Single-run wall-clock values are insufficient for systems claims.,"• Run warm-up iterations.
• Repeat each configuration at least 5–10 times.
• Report mean, standard deviation and 95% confidence intervals.","All scaling metrics include run count, variance and confidence intervals.",Repeated timing logs + CI table,E4-03/E4-05,Aditya,Week 2–3,Not Started,0%,No,No,Section IV-E; V-B,R6,
