tracker_task_id,reviewer,comment_summary,category,priority,proposed_decision,experiment_ids,code_locations,manuscript_locations,acceptance_test,evidence_paths,current_status,blocker
D1-01,R2; R3; R6,Decide: obtain true multi-node results or reframe as single-server multi-GPU,systems,P0,Choose Option B: reframe the work as single-server branch-parallel multi-GPU execution. Remove physical multi-node/cluster validation claims.,EXP-6.2;EXP-6.3,UNAVAILABLE: no source checkout supplied,"Title; Abstract; Sections I, IV-E, V, VIII, IX",Terminology audit; revised hardware section; removal/relabeling of multi-node tables and figures.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
D1-02,R2; R3; R6,Decide how to address the small-dataset versus population-scale mismatch,data/leakage,P0,Remove 'thousands of participants' and population-scale validation language. Separate predictive modeling evidence from optional systems stress tests.,EXP-6.2;EXP-6.3,UNAVAILABLE: no source checkout supplied,Introduction; Limitations; Conclusion,"Search audit for 'thousands', 'population-scale', 'large cohort' and equivalent claims.",reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; datasets/split manifests/label provenance unavailable; editable manuscript source unavailable
D1-03,R1; R2; R6,Formally validate whether standard DDP inherently violates temporal causality in this setup,correctness,P0,"Remove the broad assertion that standard DDP inherently violates temporal causality. Retain only a testable hypothesis for explicitly defined stateful/overlapping/asynchronous sequence settings, subject to controlled experiments.",EXP-0.4;EXP-3.1,UNAVAILABLE: no source checkout supplied,"Sections I-B, II-C, III-D, VII-C",Controlled experiment EX-01; matched effective batch/LR/sampler; revised formal definition.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
D1-04,R1; R2,"Decide whether Theorem 1 is retained, replaced or removed",correctness,P0,Remove Theorem 1 and the convergence guarantee. Replace it with an operational invariant: branch version lag is capped by δ_max under the stated counter and synchronization rules.,N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Section III-D; Appendix,Revised algorithm semantics; counter unit tests; no 'convergence guarantee' remaining in PDF.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
D1-05,R3,Define the single strongest methodological novelty,methodology,P1,"Define the primary novelty as the co-designed multi-scale temporal architecture plus branch-parallel execution mapping; treat FiLM, dilated TCNs, attention and standard synchronization as established components.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Introduction; Related Work; Contributions,Related-work comparison table and contribution-to-evidence mapping.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
D1-06,R3,Select a title that matches the final evidence,writing,P1,Use the scope-matched title: 'A Multi-Scale Temporal Convolutional Network for Cognitive State Modeling with Branch-Parallel Multi-GPU Execution'.,N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Title,"Exact title identical across PDF, source and portal.",reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
D1-07,R2; R3,Create a manuscript-wide claim-strength policy,methodology,P1,"Ban unqualified 'first', 'guarantees', 'near-linear', 'population-scale', 'distributed nodes' and causal-mechanism wording unless directly supported after reruns.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Entire manuscript,Keyword search log and coauthor review of every retained strong claim.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
D1-08,Editor,Obtain guide approval on the revised paper identity before new writing,administrative,P0,Lock DEC-01 through DEC-07 as the revision baseline before reruns or rewriting.,N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Internal,Dated Decision Log with approver names.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable; author/institutional confirmation required
T2-01,R1,Remove η notation overloading,correctness,P1,Reserve η_N for scaling efficiency and use α_lr (or γ_lr) for learning rate everywhere.,N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,"Sections III-D, IV-C, IV-F; Tables 1 and 3",Symbol glossary and full-source search with no conflicting η uses.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
T2-02,R2,Derive and verify the exact receptive field for each branch,correctness,P0,"Use the two-convolution receptive-field formula implied by Eq. (2): R_b = 1 + 2(K-1)Σ_l r_{b,l}. For K=3 this gives 61, 481 and 1921 timesteps for the submitted schedules, subject to code confirmation.",EXP-0.1;EXP-5.1,UNAVAILABLE: no source checkout supplied,Section III-B; Figure 2,Model-code inspection; impulse/gradient receptive-field unit test; revised Figure 2.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
T2-03,R2,Correct the personalization-adapter parameter count,correctness,P1,"Correct adapter accounting: per-subject parameters equal d_s (8 in the submitted default), while the FiLM generator matrices are shared. Report both exact shared and per-subject counts.",EXP-0.2;EXP-5.5;EXP-5.6,UNAVAILABLE: no source checkout supplied,Section III-B.4; Complexity,Parameter enumeration from the model state_dict and a shared/per-subject table.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
T2-04,R2,Rewrite the staleness counter semantics,correctness,P0,"Define Δ_b as branch parameter-version lag, not an informal step count. Increment the global version on optimizer updates, compute Δ_b=v_global-v_b, and reset/update versions after a successful synchronization.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Section III-D; Algorithm 1,State-transition table and deterministic counter unit tests.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
T2-05,R2,Explain HOLD-triggered synchronization versus periodic AllReduce,correctness,P0,"Use one synchronization rule: if HOLD or the periodic condition fires, perform one full affected-parameter synchronization, then reset/update all relevant version counters; HOLD takes precedence and duplicate synchronization is prohibited.",EXP-0.3;EXP-3.1;EXP-3.2,UNAVAILABLE: no source checkout supplied,Section III-D/E; Algorithm 1,Integration tests for simultaneous triggers; communication logs.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
T2-06,R2,Define TCP behavior when branches are replicated for N > 3,systems,P0,"For N>3, define replicas only if implemented: reduce gradients within replicas of the same branch first, then apply the branch update/version rule. Otherwise cap reported execution at the actually implemented branch/aggregator layout and remove replication claims.",EXP-0.3;EXP-3.1;EXP-3.2;EXP-5.1,UNAVAILABLE: no source checkout supplied,Section III-C/D,Topology diagram; replica-gradient integration test; run configuration manifest.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
T2-07,R2; R6,Explain how N = 16 was produced on an eight-GPU server,systems,P0,Delete the N=16 column and define N as physical GPU workers on the single eight-GPU server; never call those workers compute nodes.,EXP-6.2;EXP-6.3,UNAVAILABLE: no source checkout supplied,Section IV-E; Table 3,Hardware/process mapping and revised scaling table.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
T2-08,R2,Replace universal EEG-timescale grounding with dataset-specific temporal rationale,data/leakage,P1,"Replace universal EEG/neuroscience grounding with sampling-aware, dataset-specific multi-resolution heuristics.",EXP-6.2;EXP-6.3,UNAVAILABLE: no source checkout supplied,"Sections III-A/B, VII-A",Dataset-specific receptive-field table and removal of unsupported EEG claims.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; datasets/split manifests/label provenance unavailable; editable manuscript source unavailable
T2-09,R1; R2,State all assumptions required by the revised theoretical result,methodology,P0,"Because the convergence theorem is removed, replace proof assumptions with explicit operational assumptions for the version-lag proposition and empirical protocol.",EXP-4.3,UNAVAILABLE: no source checkout supplied,Section III-D; Appendix,Revised proposition and algorithm tests.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
T2-10,R1; R2,Complete a valid proof or explicitly remove the convergence guarantee,correctness,P0,"Remove the proof sketch, square-root convergence rate and 'synchronous optimum' guarantee; do not claim Lian et al. applies to the masked estimator.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Section III-D; Appendix,No theorem/convergence wording remains; invariant checked by tests.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
T2-11,R3,Expand the analytical computational and communication complexity derivation,systems,P1,"Replace the coarse O(TDL_bK) expression with dimensionally correct forward/backward, memory and communication formulas, then reconcile them with profiling.",EXP-6.3,UNAVAILABLE: no source checkout supplied,Section III-F,"Symbolic derivation, profiler table and analytical-versus-measured byte reconciliation.",reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
T2-12,R2; R3,"Add unit and integration tests for TCP, SAP, receptive field and parameter counts",correctness,P1,"Make tests part of the reproducibility package: receptive field, parameter count, counter transitions, simultaneous sync triggers, replica order and shape/gradient equivalence.",EXP-0.1;EXP-0.2;EXP-0.3;EXP-3.1;EXP-3.2,UNAVAILABLE: no source checkout supplied,Code / supplement,Passing test report from the locked commit.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
V3-01,R3; R4,Audit StudentLife split for participant leakage,data/leakage,P0,Use subject-independent GroupKFold/stratified group evaluation for generalization claims; report any within-subject result separately.,EXP-1.1;EXP-1.2;EXP-4.1,UNAVAILABLE: no source checkout supplied,Section IV-A,Automated intersection check showing zero subject overlap; split manifest.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; datasets/split manifests/label provenance unavailable; editable manuscript source unavailable
V3-02,R6,Clarify and correct the DAIC-WOZ 107/82 split,data/leakage,P0,"Replace the unexplained 107/82 split with the official DAIC-WOZ partition protocol: 107 train, 35 development, and 47 test; use the 47 test set only through an authorized label/evaluation path. Otherwise report train/development results or subject-grouped cross-validation on the labeled 142 sessions.",EXP-1.1;EXP-1.2;EXP-4.2,UNAVAILABLE: no source checkout supplied,Section IV-A,"Partition manifest, label provenance and rerun logs.",reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; datasets/split manifests/label provenance unavailable; editable manuscript source unavailable
V3-03,R4; R3,Define how subject embeddings are handled for held-out and unseen subjects,data/leakage,P0,Separate seen-subject personalization from unseen-subject generalization. Unseen subjects receive a global/UNK embedding; few-shot adaptation uses only a declared support set excluded from evaluation.,N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Section III-B.4; IV; VIII,No test-subject IDs in training vocabulary; support/query separation check; cold-start table.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,datasets/split manifests/label provenance unavailable; editable manuscript source unavailable
V3-04,R3,Document the complete preprocessing pipeline,data/leakage,P1,Publish the full preprocessing pipeline with versioned parameters and fit every learned transform on training data only.,EXP-1.1;EXP-1.3,UNAVAILABLE: no source checkout supplied,Section IV-A; Supplement,End-to-end preprocessing command and checksum-matched output manifest.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; datasets/split manifests/label provenance unavailable; editable manuscript source unavailable
V3-05,R3,Audit forward-fill and imputation for temporal leakage,data/leakage,P0,Permit forward fill only within each subject/session using past observations; reset at split/session boundaries and add missing indicators. Never backward-fill from future data.,EXP-1.2;EXP-1.3,UNAVAILABLE: no source checkout supplied,Section IV-A,Leakage unit tests and imputation sensitivity table.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; datasets/split manifests/label provenance unavailable; editable manuscript source unavailable
V3-06,R3,Audit overlapping windows and duplicate temporal content across splits,data/leakage,P1,Split by subject/session before generating windows and prohibit overlapping raw timesteps across folds; use an exclusion gap if a chronological within-subject split is reported.,EXP-1.1;EXP-1.2,UNAVAILABLE: no source checkout supplied,Section IV-A,Interval-overlap audit with zero cross-split overlap.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; datasets/split manifests/label provenance unavailable; editable manuscript source unavailable
V3-07,R3,Report class distributions and imbalance handling,methodology,P1,"Report class counts by split and subject plus per-class precision, recall and F1; document weighting/sampling and threshold selection.",EXP-4.4,UNAVAILABLE: no source checkout supplied,Section IV; Results,Counts reconcile with split manifest and confusion matrices.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
V3-08,R3; R6,"Specify seeds, determinism settings and repeated-run protocol",statistics,P1,Use an identical preregistered seed list across paired methods and document deterministic flags and remaining nondeterminism.,EXP-5.10,UNAVAILABLE: no source checkout supplied,Section IV-D,Config files and run manifest with common seed IDs.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
V3-09,R2; R3,"Reconcile subjects, sessions, windows and labelled-sample counts",data/leakage,P1,"Reconcile subjects, sessions, windows, timesteps and labels in one accounting table and stop treating windows as independent participants.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Section IV-A; Introduction,Counts reproduce from preprocessing logs and sum to model inputs.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,datasets/split manifests/label provenance unavailable; editable manuscript source unavailable
V3-10,Editor,"Confirm dataset permissions, ethics statements and clinical-claim boundaries",administrative,P2,"Describe outputs as research classification/screening signals, not diagnosis; confirm dataset terms and ethics approvals/waivers.",EXP-4.3,UNAVAILABLE: no source checkout supplied,Section IV-A; Limitations,Dataset agreements/ethics statement reviewed by both authors.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; datasets/split manifests/label provenance unavailable; editable manuscript source unavailable; author/institutional confirmation required
E4-01,R2; R6,Audit fairness of all baseline configurations,baseline,P0,"Rebuild baseline comparisons with matched splits, preprocessing, effective batch size, training budget and seed list; tune learning rate for each effective batch regime.",EXP-2.2;EXP-2.3,UNAVAILABLE: no source checkout supplied,Section IV-B/D,"Config diff, tuning log and paired-run table.",reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
E4-02,R1; R2; R6,Run controlled DDP experiments that isolate the proposed temporal-inconsistency mechanism,methodology,P0,"Run the causal-mechanism matrix (matched batch/LR; chronological vs random; stateful vs stateless; overlap vs no overlap). If no stable interaction supports the mechanism, delete the causal explanation.",EXP-3.1,UNAVAILABLE: no source checkout supplied,Results; Discussion VII-C,"EX-01 logs, paired statistics and interaction plot.",reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
E4-03,R2; R3; R6,Run true multi-node experiments if the distributed scope is retained,systems,P0,"Under the chosen single-server scope, do not claim true multi-node validation and do not require new cluster results for the core resubmission. Add physical-host experiments only if the authors reverse DEC-01 and can execute them rigorously.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Section IV-E; V-B,Final manuscript contains no physical multi-node performance claim.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
E4-04,R2; R3,Add synthetic or replicated longitudinal workloads at larger scale,methodology,P1,Do not use synthetic workloads to support predictive validity. Optional synthetic scaling may appear only as a clearly labeled systems stress test; population-scale language remains removed.,EXP-3.3;EXP-6.2;EXP-6.3,UNAVAILABLE: no source checkout supplied,Section IV/V; Supplement,"Generator/configs and explicit synthetic labels, or confirmation that the claims were removed.",reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
E4-05,R2; R6,"Benchmark bandwidth, RTT, jitter, packet loss and straggler sensitivity",systems,P1,"Treat traffic shaping as single-host sensitivity analysis only. If retained, test bandwidth and added RTT with repeated runs; jitter, loss and stragglers are optional unless robustness is claimed.",N/A (non-experimental task),UNAVAILABLE: no source checkout supplied,Section V-B; Limitations,"tc command/config, repeated timing logs and revised limitation.",reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,editable manuscript source unavailable
E4-06,R6,Repeat throughput and efficiency measurements,statistics,P1,"Use warm-up plus at least 10 timed repetitions for headline throughput and 5-10 for secondary configurations; report mean, SD, 95% CI and tail latency where relevant.",EXP-6.1;EXP-6.3,UNAVAILABLE: no source checkout supplied,Section IV-E; V-B,Raw timings and reproducible aggregation script.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
E4-07,R3,"Report parameters, FLOPs, peak GPU memory and inference latency",systems,P1,"Profile parameters, MACs/FLOPs, peak training/inference memory and batch-1/batch-N latency for D-MSTCN and main baselines on the same hardware/input shapes.",EXP-0.2;EXP-6.2;EXP-6.3,UNAVAILABLE: no source checkout supplied,Complexity; Results,Profiler traces and table reconciled with parameter enumeration.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
E4-08,R3,Ablate alternative dilation schedules,baseline,P1,"Compare the submitted schedules with at least two defensible alternatives and one data-adaptive option if feasible; report realized temporal span, not EEG labels.",EXP-5.3,UNAVAILABLE: no source checkout supplied,Section VI,EX-05 configs and paired results.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
E4-09,R3,Ablate number of branches and kernel sizes,baseline,P1,Ablate 1/2/3 branches and K=3/5 with parameter-matched controls where feasible; do not infer branch necessity solely from leave-one-out variants.,EXP-5.1,UNAVAILABLE: no source checkout supplied,Section VI,EX-06 results and configs.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
E4-10,R3,Compare CSAG with alternative fusion mechanisms,baseline,P1,"Compare CSAG against fixed average, scalar gate, concatenation+MLP and one credible attention fusion under matched parameter/training budgets.",EXP-5.2;EXP-5.9,UNAVAILABLE: no source checkout supplied,Section VI,EX-07 run table and model definitions.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
E4-11,R3,Compare FiLM with lightweight personalization alternatives,baseline,P1,"Compare FiLM with a no-personalization global model, a small residual adapter and limited fine-tuning; include LoRA only if its insertion points are technically meaningful.",EXP-5.5;EXP-5.6,UNAVAILABLE: no source checkout supplied,Section VI; Discussion,EX-08 configs and support-set manifest.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; editable manuscript source unavailable
E4-12,R3; R4,Evaluate personalization for unseen subjects,data/leakage,P0,Evaluate unseen subjects with a global/UNK embedding and leakage-free k-shot adaptation; report seen-subject results separately.,EXP-5.5;EXP-5.6,UNAVAILABLE: no source checkout supplied,Section IV/VI/VIII,EX-09 results; support/query leakage test.,reviews/D_MSTCN_Rejected_Manuscript.pdf;reviews/D_MSTCN_IEEE_Access_Resubmission_Tracker_Completed.xlsx,blocked,implementation/configs and raw run artifacts unavailable; datasets/split manifests/label provenance unavailable; editable manuscript source unavailable
